Temperature_Max (°C),Temperature_Min (°C),Humidity (%),Rainfall (mm),Wind_Speed (km/h),AQI,Pressure (hPa),Cloud_Cover (%),Month,Quarter,IsMonsooon,IsSummer,IsWinter,Temp_Lag1,Temp_Lag2,Humidity_Lag1,Rainfall_Lag1,Temp_Roll7,Humidity_Roll7,Temp_Range,Heat_Index,AQI_Category_Encoded,Target_Temp_Next,City,Date
31.105170960351888,13.723877258205341,50.88975992916373,2.4297189410582556,6.402355772153259,56.57433472416375,1006.0719374751358,94.33551718074631,1,1,0,0,1,26.551972676090287,26.553133692912485,60.08924351352295,4.953396356819906,26.550907393550677,60.083799604667966,17.381293702146547,17.55354941081363,0,34.56502959170236,Mumbai,2024-01-01
30.399003343069168,15.619128942783213,50.433535089780904,0.861285243621161,1.2905177388445344,225.3772988385055,992.1808293850336,6.94551333227521,1,1,0,0,1,26.551972676090287,26.553133692912485,60.08924351352295,4.953396356819906,26.550907393550677,60.083799604667966,14.779874400285955,15.717008971271941,1,19.87620482780246,Delhi,2024-01-02
39.40441749880016,24.39896556195385,89.11497765354338,12.222376382675233,9.573008374827275,207.93813197945593,1009.9111478792242,27.63993773909583,1,1,0,0,1,26.551972676090287,26.553133692912485,60.08924351352295,4.953396356819906,26.550907393550677,60.083799604667966,15.005451936846306,30.33168092902976,2,20.56350343218783,Bengaluru,2024-01-03
30.6036036312563,23.924681707459253,61.063186135144335,16.32298022234575,17.80149756659401,186.77195517668451,996.4197535960194,6.063071651048824,1,1,0,0,1,26.551972676090287,26.553133692912485,60.08924351352295,4.953396356819906,26.550907393550677,60.083799604667966,6.678921923797045,14.24119486276147,0,28.58148365592455,Chennai,2024-01-04
32.39720352322104,27.54358045192558,86.75722589702445,3.664713072106929,17.414994860357037,137.57145862403814,1014.9420201234511,60.4870297112615,1,1,0,0,1,26.551972676090287,26.553133692912485,60.08924351352295,4.953396356819906,26.550907393550677,60.083799604667966,4.853623071295459,24.955457337863482,0,22.42899568573594,Kolkata,2024-01-05
34.522842836447346,28.314976665767972,65.16584753383833,0.3132435676396177,7.9129365684546205,253.47035206710035,1008.1476947109353,50.62628432986924,1,1,0,0,1,34.49328398335419,26.553133692912485,50.88975992916373,2.4297189410582556,26.550907393550677,60.083799604667966,6.207866170679374,22.524594483754864,3,26.142592160675683,Mumbai,2024-01-06
33.508812082031135,19.96001761919215,60.95666171002716,3.0322127767546037,14.355763940327451,181.04499565585493,1016.352717348564,82.5967720951319,1,1,0,0,1,31.163805874985353,26.553133692912485,50.433535089780904,0.861285243621161,26.550907393550677,60.083799604667966,13.548794462838984,12.115870937675634,1,33.909896880401405,Delhi,2024-01-07
29.660020674849875,10.47414564989234,32.09510063935231,4.667143891752151,10.415022842474844,196.96345745766249,1005.6737867010625,46.16305730926823,1,1,0,0,1,34.036569079276106,26.553133692912485,89.11497765354338,12.222376382675233,26.550907393550677,60.083799604667966,19.185875024957532,6.59987712153735,0,22.79389434331407,Bengaluru,2024-01-08
36.72458614057047,19.031077837605736,80.44993006080355,2.7150419334018134,6.677506021500983,292.81771263666496,990.5964497967102,91.91376192648202,1,1,0,0,1,23.322063200637817,26.553133692912485,61.063186135144335,16.32298022234575,26.550907393550677,60.083799604667966,17.693508302964737,22.9937836115313,3,21.987588502641838,Chennai,2024-01-09
36.26400879406339,15.161808108072366,81.79203434813006,4.091245618690026,17.381301874568194,193.576291552199,997.4430582239581,86.27523000587011,1,1,0,0,1,28.764701821476045,26.553133692912485,86.75722589702445,3.664713072106929,26.550907393550677,60.083799604667966,21.10220068599103,18.34513185521775,2,19.628494180239812,Kolkata,2024-01-10
